Name,Category,Region,Website,Phone,Email
"Aanari Hotel & Spa","hotel","West","http://www.aanari.com/","+230 453 9000",
"ABC Car Rental","car_rental","North","http://abc-carrental.com/","+230 260 0188",
"Adamas Diamond Showroom","retail","Central","http://www.adamasltd.com/","+230 686 5246",
"AKD Car Rental","car_rental","Central","https://www.akd-locationvoiture.com/","",
"Amari by Vineet","restaurant","East","https://www.luxresorts.com/en/mauritius/hotel/luxbellemare/restaurants-bars/amari-by-vineet","+230 402 2000",
"Amplify Studio","spa","Central","http://www.amplifystudio.space/","+230 5788 9888",
"Andrea Italian Restaurant","restaurant","West","http://www.daandreanyc.com/","+1 212-367-1979",
"Autorent Mauritius","car_rental","Central","http://autorentmauritius.com/","+230 5897 5555",
"Avis Mauritius","car_rental","Central","https://www.avismauritius.com/","+230 637 3100",
"Ayur Wellness","spa","West","http://www.ayurwellness.co/","+230 5917 4671",
"Bagatelle Mall of Mauritius","retail","Central","https://www.ascenciamalls.com/bagatelle-mall","+230 460 0707",
"Beachcomber Trou aux Biches Resort","hotel","North","https://www.beachcomber-hotels.com","+230 204 6565",
"Blue Safari Submarine","tour","West","https://blue-safari.com/","+230 265 7272",
"Blue Water Diving Centre","tour","West","http://bluewaterdivingcentre.com/fr/","+230 5858 2226",
"Bo'Valon Mall","retail","Central","http://www.ascenciamalls.com/","+230 630 0057",
"Cafe des Arts","restaurant","West","http://www.maniglier.com/","+230 480 0220",
"Cafe du Vieux Conseil","restaurant","Port Louis","","+230 5434 5422",
"Canonnier Beachcomber Golf Resort & Spa","hotel","North","https://www.beachcomber-hotels.com/en/hotel/canonnier-beachcomber","+230 209 7000",
"Cascavelle Shopping Mall","retail","West","http://www.cascavelle.mu/","+230 452 9000",
"Casela World of Adventures","tour","West","https://caselaparks.com/","+230 401 6500",
"Catamaran Cruises Mauritius","tour","West","https://catamaran-cruises.com/","+230 5728 3030",
"Caudan Waterfront","retail","Port Louis","http://www.caudan.com/","+230 211 9500",
"Chateau Labourdonnais","tour","North","https://domainedelabourdonnais.com/experience/","+230 266 3007",
"Chateau Labourdonnais Restaurant","restaurant","North","https://domainedelabourdonnais.com/experience/","+230 266 3007",
"Chateau Mon Desir","restaurant","North","http://www.chateaumondesir.mu/","+230 204 1000",
"Chez Meung","restaurant","North","","+230 5924 7838",
"Chez Rosy","restaurant","South","http://chez-rosy-le-gris-gris.restaurant.mu/","+230 625 4179",
"Chez Tino","restaurant","North","","+230 480 2769",
"Chinese Garden","restaurant","North","","+230 269 1473",
"Cinq Mondes Spa Flic en Flac","spa","West","https://www.cinqmondes.com/","+230 402 3776",
"Coastal Tours Car Rental","car_rental","North","https://coastaltoursmauritius.com/","+230 263 1378",
"Coco Blush Events","services","West","https://www.cocoblushevents.com/","",
"Coeur de Ville Grand Bay","retail","North","http://coeurdeville.mu/","",
"Coin de Mire Attitude","hotel","North","https://hotels-attitude.com/en/coin-de-mire-attitude","+230 204 9900",
"Constance Belle Mare Plage","hotel","East","https://www.constancehotels.com","+230 402 2600",
"Constance Prince Maurice","hotel","East","https://www.constancehotels.com/en/hotels-resorts/prince-maurice/","+230 402 3636",
"Coteau du Lac","restaurant","Central","","",
"Craft Market Caudan","retail","Port Louis","","+230 211 9500",
"CrossFit Grand Baie","services","North","https://www.crossfitgrandbaie.com/","+230 5258 3643",
"CrossFit Tamarin","services","West","http://www.crossfittamarin.com/","+230 5922 1566",
"Dallas Yesh Cuisine n Bar","restaurant","West","https://officialmauritius.com/business/eat/restaurants/resto-dallas/99","+230 5940 2227",
"DECORDIER Immobilier","services","North","https://www.decordier-immobilier.mu/","+230 268 2828",
"Deer Hunter","restaurant","South","","",
"Dinarobin Beachcomber Golf Resort & Spa","hotel","West","https://www.beachcomber-hotels.com/en/hotel/dinarobin-beachcomber","+230 401 4900",
"Dive Passion Mauritius","tour","East","http://www.divepassionmauritius.com/","+230 5856 5527",
"Dolphin Warrior","tour","West","https://www.dolphinwarriormauritius.com/","+230 5755 4175",
"Domaine Anna","restaurant","East","http://www.domaineanna.mu/","+230 453 9650",
"Domaine de Grand Baie Spa by Sothys","spa","North","https://domainegrandbaie.com/","+230 260 4400",
"Domaine de l'Etoile","tour","East","https://www.anahitamauritius.com/en/experiences/#domaindeetoile","+230 402 8989",
"Ebrahim Tours","car_rental","North","https://www.ebrahimtours.mu/","+230 5745 0101",
"Electrobike Mauritius","tour","South","https://www.facebook.com/ebike.rosebelle/","+230 5759 5179",
"Escale Creole","restaurant","Central","https://escalecreole.net/","+230 5422 2332",
"Eureka Table d'Hote","restaurant","Central","http://maison-eureka.restaurant.mu/","+230 433 8477",
"Europcar Mauritius","car_rental","Central","http://www.europcar.mu/","+230 286 0140",
"Explore Nou Zil","tour","South","https://explorenouzil.com/","",
"First Car Rental Mauritius","car_rental","Central","","+230 210 3030",
"Flacq Market","retail","East","","",
"FleetPro Services","car_rental","Central","https://fleetpro.mu/","+230 490 7005",
"Floreal Square","retail","Central","","",
"Footlove Reflexology","spa","North","https://footlove.mu/","+230 5498 6461",
"Foraha Spa","spa","West","","+230 263 2996",
"Fotoshoot Productions","services","Port Louis","http://www.fotoshootprod.com/","",
"Four Seasons Resort Mauritius","hotel","East","https://www.fourseasons.com","+230 402 3100",
"Frederica Nature Reserve","tour","South","","",
"Friday Attitude","hotel","East","https://hotels-attitude.com/en/friday-attitude","+230 402 7070",
"Galerie des Iles","retail","West","https://ilhadocirnegallery.com/","+230 263 1406",
"Go Duty Free Caudan","retail","Port Louis","http://www.godutyfree.mu/","+230 210 9849",
"Go Duty Free Grand Baie","retail","North","https://www.godutyfree.mu/","+230 5986 8297",
"Golden Capture Studio","services","West","http://www.golden-capture.com/","+230 5251 1532",
"Goodlands Market","retail","North","","",
"Grand Baie Bazaar","retail","North","","+230 5772 6615",
"Hammam Spa Mauritius","spa","Central","","+230 263 2996",
"Happy Rajah","restaurant","North","http://www.happyrajah.com/","+230 263 2241",
"Hennessy Park Hotel","hotel","Central","https://ninetysixhotels.com/hennessy-park-hotel-eben-cybercity-mauritius.html","+230 403 7200",
"Heritage Le Telfair Golf & Wellness Resort","hotel","South","https://www.heritageresorts.mu","+230 601 5500",
"Hertz Mauritius","car_rental","Central","http://www.hertz.mu/","+230 800 2333",
"I Keep The Pace","tour","Central","http://pacecmi.org/","+1 989-953-5814",
"IDrive Mauritius","car_rental","Central","http://mauhire.com/","+230 5768 8168",
"Ignite Studios","spa","Central","http://www.ignite-studios.mu/","+230 5447 0661",
"Ile aux Cerfs Golf & Leisure","tour","East","http://www.ileauxcerfsgolfclub.com/","+230 402 7720",
"Ile des Deux Cocos","tour","South","https://www.iledesdeuxcocos.com/","+230 698 2727",
"Just Diving","tour","North","http://www.justdivingmauritius.com/","+230 5834 0863",
"JW Marriott Mauritius Resort","hotel","West","https://www.marriott.com/en-us/hotels/mruxm-the-st-regis-le-morne-resort-mauritius/overview/?cid=NAT_google_hotel_url","+230 403 9000",
